entry_time,exit_time,entry_price,exit_price,side,pnl_pct,cumulative_pnl_pct
2025-09-21 23:00:00,2025-09-26 17:00:00,236.16,201.4,short,14.71883468834688,14.71883468834688
2025-09-27 08:00:00,2025-09-27 10:00:00,200.93,201.63,short,-0.34838003284725455,14.370454655499625
2025-09-27 18:00:00,2025-09-27 19:00:00,201.64,202.19,short,-0.27276334060702806,14.097691314892597
2025-09-28 01:00:00,2025-09-28 07:00:00,201.13,202.1,short,-0.48227514542832933,13.615416169464268
2025-09-28 08:00:00,2025-09-28 14:00:00,201.81,201.89,short,-0.03964124671720137,13.575774922747067
2025-09-29 12:00:00,2025-09-29 13:00:00,205.37,208.86,short,-1.6993718654136478,11.87640305733342
2025-09-30 08:00:00,2025-09-30 14:00:00,207.77,208.79,short,-0.49092746787312014,11.385475589460299
2025-09-30 15:00:00,2025-09-30 19:00:00,206.0,208.92,short,-1.4174757281553338,9.967999861304964
2025-09-30 22:00:00,2025-09-30 23:00:00,208.06,208.68,short,-0.29799096414496035,9.670008897160004
2025-10-01 00:00:00,2025-10-01 01:00:00,207.54,210.59,short,-1.4695962224149617,8.200412674745042
2025-10-01 03:00:00,2025-10-01 04:00:00,206.69,208.5,short,-0.8757075814021008,7.324705093342941
2025-10-01 06:00:00,2025-10-01 07:00:00,207.98,210.18,short,-1.0577940186556483,6.266911074687293
2025-10-04 03:00:00,2025-10-04 05:00:00,229.25,229.99,short,-0.3227917121046932,5.9441193625826
2025-10-04 07:00:00,2025-10-05 02:00:00,229.11,231.12,short,-0.8773078433939988,5.066811519188601
2025-10-05 14:00:00,2025-10-05 16:00:00,230.14,231.09,short,-0.41279221343530775,4.654019305753293
2025-10-05 17:00:00,2025-10-06 01:00:00,229.67,231.42,short,-0.7619628162145687,3.892056489538724
2025-10-06 23:00:00,2025-10-07 01:00:00,232.35,232.72,short,-0.1592425220572432,3.732813967481481
2025-10-07 06:00:00,2025-10-08 17:00:00,230.44,226.92,short,1.52751258462073,5.260326552102211
2025-10-09 02:00:00,2025-10-09 03:00:00,224.44,226.19,short,-0.7797184102655498,4.480608141836662
2025-10-09 07:00:00,2025-10-09 12:00:00,224.5,225.95,short,-0.6458797327394158,3.834728409097246
2025-10-09 13:00:00,2025-10-10 13:00:00,222.28,223.41,short,-0.5083678243656629,3.3263605847315834
2025-10-10 14:00:00,2025-10-12 14:00:00,219.79,186.29,short,15.241821738932618,18.568182323664203
2025-10-13 12:00:00,2025-10-13 13:00:00,191.84,196.15,short,-2.2466638865721444,16.32151843709206
2025-10-14 06:00:00,2025-10-14 15:00:00,195.31,202.22,short,-3.5379652859556585,12.7835531511364
2025-10-15 13:00:00,2025-10-16 12:00:00,201.16,197.02,short,2.0580632332471596,14.84161638438356
2025-10-16 13:00:00,2025-10-18 06:00:00,195.78,186.34,short,4.821738686280518,19.66335507066408
2025-10-18 10:00:00,2025-10-18 11:00:00,185.18,186.1,short,-0.4968139107894953,19.166541159874583
2025-10-18 13:00:00,2025-10-18 14:00:00,185.2,185.75,short,-0.29697624190065414,18.86956491797393
2025-10-18 15:00:00,2025-10-18 17:00:00,185.03,185.93,short,-0.4864076095768284,18.3831573083971
2025-10-19 00:00:00,2025-10-19 01:00:00,185.75,185.86,short,-0.059219380888298055,18.3239379275088
2025-10-19 06:00:00,2025-10-19 07:00:00,185.57,185.9,short,-0.17783046828690657,18.146107459221895
2025-10-19 08:00:00,2025-10-19 09:00:00,184.17,187.2,short,-1.6452190910571762,16.50088836816472
2025-10-20 00:00:00,2025-10-20 03:00:00,185.62,191.21,short,-3.0115289300721924,13.489359438092528
2025-10-20 16:00:00,2025-10-20 20:00:00,187.54,190.51,short,-1.5836621520742236,11.905697286018304
2025-10-20 21:00:00,2025-10-20 22:00:00,188.99,190.74,short,-0.9259749193078999,10.979722366710405
2025-10-21 00:00:00,2025-10-21 14:00:00,189.0,192.75,short,-1.984126984126984,8.99559538258342
2025-10-21 22:00:00,2025-10-23 05:00:00,188.56,184.84,short,1.9728468392023752,10.968442221785796
2025-10-24 15:00:00,2025-10-24 16:00:00,189.45,190.65,short,-0.6334125098970795,10.335029711888717
2025-10-25 10:00:00,2025-10-25 11:00:00,192.0,192.71,short,-0.36979166666667085,9.965238045222046
2025-10-25 15:00:00,2025-10-25 17:00:00,191.89,192.38,short,-0.2553546302569228,9.709883414965123
2025-10-26 02:00:00,2025-10-26 03:00:00,192.28,192.97,short,-0.35885167464114714,9.351031740323975
2025-10-27 20:00:00,2025-10-28 00:00:00,198.73,199.68,short,-0.4780355255874891,8.872996214736487
2025-10-28 05:00:00,2025-10-28 06:00:00,198.71,200.9,short,-1.10210860047305,7.770887614263437
2025-10-28 11:00:00,2025-10-28 12:00:00,199.73,200.21,short,-0.24032443799129735,7.530563176272139
2025-10-28 14:00:00,2025-10-28 17:00:00,199.54,200.85,short,-0.656509972937758,6.874053203334381
2025-10-28 18:00:00,2025-10-29 11:00:00,199.69,198.74,short,0.4757373929590809,7.349790596293462
2025-10-29 15:00:00,2025-10-29 17:00:00,196.78,198.5,short,-0.8740725683504416,6.475718027943021
2025-10-29 18:00:00,2025-10-30 02:00:00,193.54,198.17,short,-2.3922703317143723,4.083447696228649
2025-10-30 04:00:00,2025-10-31 10:00:00,191.81,186.29,short,2.8778478702883117,6.96129556651696
