entry_time,exit_time,entry_price,exit_price,side,pnl_pct,cumulative_pnl_pct
2025-10-21 01:00:00,2025-10-21 06:15:00,187.93,184.87,long,-1.6282658436651956,-1.6282658436651956
2025-10-21 21:15:00,2025-10-22 01:45:00,189.69,187.0,long,-1.4181032210448614,-3.046369064710057
2025-10-25 10:00:00,2025-10-25 12:00:00,191.69,193.35,long,0.8659815326829758,-2.1803875320270816
2025-10-27 08:15:00,2025-10-27 13:00:00,200.19,200.06,long,-0.06493830860682125,-2.2453258406339027
2025-10-27 21:15:00,2025-10-28 00:00:00,198.05,199.27,long,0.6160060590759903,-1.6293197815579123
2025-10-28 12:15:00,2025-10-28 12:45:00,198.67,200.21,long,0.7751547792822371,-0.8541650022756753
2025-10-28 19:45:00,2025-10-28 22:15:00,195.35,194.68,long,-0.3429741489633926,-1.197139151239068
2025-10-30 12:15:00,2025-10-30 20:45:00,189.05,182.25,long,-3.5969320285638777,-4.794071179802946
