entry_time,exit_time,entry_price,exit_price,side,pnl_pct,cumulative_pnl_pct
2025-05-23 20:00:00,2025-05-24 08:00:00,107318.3,109208.56,long,1.7613585008334969,1.7613585008334969
2025-05-28 12:00:00,2025-05-29 08:00:00,107107.31,108779.84,long,1.561546079347898,3.322904580181395
2025-05-29 16:00:00,2025-06-01 12:00:00,105731.74,104715.1,long,-0.9615277304620158,2.3613768497193792
2025-06-05 16:00:00,2025-06-06 08:00:00,101914.77,103927.99,long,1.9753957154591046,4.336772565178483
2025-06-12 08:00:00,2025-06-15 12:00:00,106900.95,105564.0,long,-1.2506437033534288,3.0861288618250544
2025-06-21 16:00:00,2025-06-23 04:00:00,102245.1,101931.04,long,-0.3071638640873863,2.7789649977376683
2025-07-01 12:00:00,2025-07-02 04:00:00,105955.18,107080.0,long,1.0615998198483614,3.8405648175860296
2025-07-25 00:00:00,2025-07-25 20:00:00,115419.66,117614.31,long,1.9014524908494743,5.7420173084355035
2025-07-31 20:00:00,2025-08-03 16:00:00,115764.08,114313.19,long,-1.2533162272787892,4.488701081156714
2025-08-14 16:00:00,2025-08-17 04:00:00,117945.92,118005.98,long,0.05092164273253172,4.539622723889246
2025-08-18 00:00:00,2025-08-22 12:00:00,115319.0,116370.75,long,0.9120353107467113,5.451658034635957
2025-08-24 16:00:00,2025-08-26 20:00:00,112600.0,111763.22,long,-0.7431438721136757,4.708514162522282
2025-08-29 12:00:00,2025-09-01 04:00:00,108386.23,109432.99,long,0.9657684375589125,5.674282600081194
2025-09-19 16:00:00,2025-09-24 08:00:00,115125.12,113029.46,long,-1.8203325216946473,3.8539500783865472
2025-09-25 08:00:00,2025-09-28 12:00:00,111348.0,110037.93,long,-1.1765545856234572,2.67739549276309
2025-10-10 12:00:00,2025-10-12 16:00:00,119018.98,114342.28,long,-3.9293732814715745,-1.2519777887084844
2025-10-16 12:00:00,2025-10-19 08:00:00,108549.21,107783.47,long,-0.7054312048885526,-1.9574089935970371
2025-10-29 00:00:00,2025-10-31 08:00:00,112523.49,109837.59,long,-2.3869682676923802,-4.344377261289417
